ArttÄ±rÄ±labilir Azami Bellek,Arttırılabilir Azami Bellek,BaÄŸlantÄ±lar,Bağlantılar,Bağlantılar (İkincil),Beden,Cihaz AÄŸÄ±rlÄ±ÄŸÄ±,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran KartÄ±,Ekran KartÄ± Bellek Tipi,Ekran KartÄ± HafÄ±zasÄ±,Ekran KartÄ± Tipi,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme HÄ±zÄ±,Ekran Yenileme Hızı,Ekran Özelliği,Garanti SÃ¼resi,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,KullanÄ±m AmacÄ±,Kullanım Amacı,Maksimum Ä°ÅŸlemci HÄ±zÄ± (GHz),Maksimum İşlemci Hızı (GHz),Okula DÃ¶nÃ¼ÅŸ,Okula Dönüş,Optik SÃ¼rÃ¼cÃ¼ Tipi,Optik Sürücü Tipi,Panel Tipi,Power Supply,Ram (Sistem BelleÄŸi),Ram (Sistem BelleÄŸi) Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel Ä°ÅŸlemci HÄ±zÄ± (GHz),Temel İşlemci Hızı (GHz),Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k,Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k StandartÄ±,Ä°ÅŸlemci FrekansÄ±,Ä°ÅŸlemci Modeli,Ä°ÅŸlemci Nesli,Ä°ÅŸlemci Tipi,Ä°ÅŸlemci Ã‡ekirdek SayÄ±sÄ±,Ä°ÅŸletim Sistemi,ÅžarjlÄ± KullanÄ±m SÃ¼resi,Çözünürlük,Çözünürlük Standartı,İşlemci Frekansı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Var,"15,6 inç",,,,,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,,,,,,IPS,,,,16 GB,DDR4,Gri,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,12700H,12. Nesil,Intel Core i7,12,Free Dos,,https://www.trendyol.com//asus/tuf-gaming-f15-fx507zc4-hn177-intel-i7-12700h-16gb-ddr4-1tb-ssd-4gb-rtx3050-15-6-fhd-144hz-dos-p-775779675?boutiqueId=61&merchantId=820455,36.325 TL
,,,,,,,,,,,,,,Nvidia GeForce RTX 3050,DDR4,,Harici,,,,,3 Yıl,Resmi Distribütör Garantili,,,HDD Yok,Yok,,,Oyun,,,,,,Yok,,,,,16 GB,,,1 TB,,,,,,,,,,,,,,,,,Ryzen 5 5600,5. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//zenon/raks-tr104-ryzen-5-5600-16gb-1tbssd-rtx3050-16gb-freedos-gaming-masaustu-bilgisayar-p-779887166?boutiqueId=61&merchantId=106664&advertItems=eyJhZHZlcnRJZCI6ImI3ZmUwN2YwLTUwODQtNDRhYi1iN2I4LWNjMWFlNjExMGEzYiIsInNvcnRpbmdTY29yZSI6MC4wMDQ2MTIyNzY5MDA1NTk2NjQsImFkU2NvcmUiOjAuMDIyMDY4MzEwNTI4OTkzNjA3LCJhZFNjb3JlcyI6eyIxIjowLjAyMjA2ODMxMDUyODk5MzYwNywiMiI6MC4wMjIwNjgzMTA1Mjg5OTM2MDd9LCJjcGMiOjAuMjA5MDAwMDAwMDAwMDAwMDIsIm1pbkNwYyI6MCwiZUNwYyI6MC4yMDkwMDAwMDAwMDAwMDAwMiwiYWR2ZXJ0U2xvdCI6MzksIm9yZGVyIjoxMSwic2VhcmNoVGVybSI6ImJpbGdpc2F5YXIiLCJhdHRyaWJ1dGVzIjoiIn0=,21.899 TL
,,,USB - Bluetooth - HDMI,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,,,,,,,,,,16 GB,DDR4,Siyah,256 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,5500U,5. Nesil,AMD Ryzen 5,6,Windows,,https://www.trendyol.com//dell/ins-3525-i3525221wh-01-r5-5500u-16gb-256gb-ssd-15-6-windows-11-home-p-779254766?boutiqueId=61&merchantId=106198,11.699 TL
,,USB - Bluetooth - HDMI,,,,2 - 4 kg,,Yok,16 inÃ§,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,,,,,165 Hz,,,2 YÄ±l,,Lenovo TÃ¼rkiye Garantili,,,HDD Yok,,Q TÃ¼rkÃ§e + Numerik (AydÄ±nlatmalÄ±),Oyun,,,,,,,,Anti-Glare,,16 GB,DDR5,,,Siyah,512 GB,,,,,1920 x 1200,WUXGA,,6600H,6. Nesil,AMD Ryzen 5,6,Free Dos,,,,,,,,,,,https://www.trendyol.com//lenovo/ip-gaming-3-amd-ryzen-5-6600h-16gb-512gb-rtx3050-16-wuxga-165hz-gaming-notebook-82sc0098tx-p-780224610?boutiqueId=623361&merchantId=968,23.999 TL
,,,,,,,,,,,,,,Nvidia GeForce RTX 4060Ti,GDDR6,,Harici,,,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,1 TB,,,Oyun,,,,,,Yok,,,,,32 GB,,,1 TB,,,,,,,,,,,,,,,,,12700F,12. Nesil,Intel Core i7,12,Free Dos,,https://www.trendyol.com//dragos/drx6156-i7-12700f-32gb-ram-1tb-m-2-nvme-ssd-8gb-rtx4060ti-sivi-sogitmali-oyuncu-bilgisayari-p-767808286?boutiqueId=61&merchantId=107513,"38.413,90 TL"
,,,,,,,,,,,,,,Belirtilmemiş,Belirtilmemiş,,Paylaşımlı,,,,,2 Yıl,İthalatçı Garantili,,,HDD Yok,1 TB,Yok,,Tasarım,,,,,,Yok,,,,,128 GB,DDR4,Çok Renkli,1 TB,,,,,,,,,,,,,,,,,Xeon Silver 4214,Belirtilmemiş,Intel Xeon,24,Free Dos,,https://www.trendyol.com//oem/intel-xeon-gold-6138-cift-islemci-80-cekirdek-256-gb-ddr4-ecc-ram-1-tb-nvme-workstation-server-p-785966215?boutiqueId=61&merchantId=192829&advertItems=eyJhZHZlcnRJZCI6IjFmYmUzZTA1LWQ0MTItNDM5Yi1iMTY4LWRlOTlkMTZjM2E2ZiIsInNvcnRpbmdTY29yZSI6MC4wMDQyOTc2ODU1NDg2NjMxNCwiYWRTY29yZSI6MC4wMTk1MzQ5MzQzMTIxMDUxOCwiYWRTY29yZXMiOnsiMSI6MC4wMTk1MzQ5MzQzMTIxMDUxOCwiMiI6MC4wMTk1MzQ5MzQzMTIxMDUxOH0sImNwYyI6MC4yMjAwMDAwMDAwMDAwMDAwMywibWluQ3BjIjowLjAxLCJlQ3BjIjowLjIyMDAwMDAwMDAwMDAwMDAzLCJhZHZlcnRTbG90Ijo0MCwib3JkZXIiOjE1LCJzZWFyY2hUZXJtIjoiYmlsZ2lzYXlhciIsImF0dHJpYnV0ZXMiOiIifQ==,"98.999,99 TL"
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,,144 Hz,,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),,Oyun,,4.4,,,,,IPS,,,,32 GB,DDR4,Siyah,1 TB,Gen 4,,,2,,,,,,,,,,1920 x 1080,Full HD (FHD),,12450H,12. Nesil,Intel Core i5,8,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/tulpar-t5-v23-3-2-intel-core-i5-12450h-32-gb-ram-1-tb-ssd-8-gb-rtx-4060-freedos-15-6-fhd-144-hz-p-762942774?boutiqueId=61&merchantId=105286,34.299 TL
,64 GB,,HDMI,,Tek Ebat,,2 - 4 kg,,"24"" / 61 Ekran",,,,,Nvidia GeForce GTX 1660 SUPER,GDDR6,6 GB,Harici,,75 Hz,,,2 Yıl,İzoly Türkiye Garantisi,,Var,HDD Yok,Yok,Q Türkçe,,Oyun,,,,,,Yok,IPS,500 W ve üstü,,,16 GB,DDR4,,512 GB,,,,2.9,,,,,,,,,,1920 x 1080,Full HD (FHD),3.00 GHz üstü,10400F,10. Nesil,Intel Core i5,6,Free Dos,,https://www.trendyol.com//izoly/ancient-x-i5-10400f-16gb-512gb-m-2-nvme-1660s-6gb-24-oyuncu-masaustu-bilgisayari-p-680138242?boutiqueId=61&merchantId=123676,"20.630,65 TL"
,,,HDMI - USB,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Intel XE Graphics,Dahili,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,,,,,,16 GB,DDR4,Gümüş,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,10,Free Dos,,https://www.trendyol.com//asus/vivabook-15-r1502za-ej97101-i5-1235u-16gb-512gb-15-6-fhd-freedos-p-786660386?boutiqueId=61&merchantId=109239,"15.199,99 TL"
,,,,,,,,,,,,,,Nvidia GeForce RTX 4060Ti,GDDR6,,Harici,,,,,3 Yıl,Resmi Distribütör Garantili,,,HDD Yok,Yok,,,Oyun,,,,,,Yok,,,,,32 GB,,,1 TB,,,,,,,,,,,,,,,,,12700F,12. Nesil,Intel Core i7,12,Free Dos,,https://www.trendyol.com//zenon/raks-tr108-i7-12700f-32gb-1tbssd-rtx4060ti-16gb-freedos-gaming-masaustu-bilgisayar-p-779888264?boutiqueId=61&merchantId=106664&advertItems=eyJhZHZlcnRJZCI6ImI3ZmUwN2YwLTUwODQtNDRhYi1iN2I4LWNjMWFlNjExMGEzYiIsInNvcnRpbmdTY29yZSI6MC4wMDQwNjQ2MjU5NjcyOTM5NzgsImFkU2NvcmUiOjAuMDE5NDQ3OTcxMTM1Mzc3ODg0LCJhZFNjb3JlcyI6eyIxIjowLjAxOTQ0Nzk3MTEzNTM3Nzg4NCwiMiI6MC4wMTk0NDc5NzExMzUzNzc4ODR9LCJjcGMiOjAuMjA5MDAwMDAwMDAwMDAwMDIsIm1pbkNwYyI6MCwiZUNwYyI6MC4yMDg1ODE5OTc0NjcxMTk1OCwiYWR2ZXJ0U2xvdCI6NDEsIm9yZGVyIjoxOSwic2VhcmNoVGVybSI6ImJpbGdpc2F5YXIiLCJhdHRyaWJ1dGVzIjoiIn0=,41.299 TL
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,"17,3 inç",,,,,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,,144 Hz,,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),,Oyun,,,,,,,VA,,,,16 GB,DDR5,Beyaz,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,13900H,13. Nesil,Intel Core i9,14,Free Dos,,https://www.trendyol.com//msi/katana-15-b13vgk-1469xtr-i9-13900h-16gb-ddr5-512gb-ssd-8gb-rtx4070-15-6-144hz-freedos-gaming-o-p-769852767?boutiqueId=61&merchantId=106248,"55.502,94 TL"
,,,HDMI,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),,Oyun,,,,,,,IPS,,,,8 GB,DDR5,Siyah,256 GB,,,,2.2,,,,,,,,,,1920 x 1080,Full HD (FHD),,12450H,12. Nesil,Intel Core i5,8,Free Dos,3 Saat ve Altı,https://www.trendyol.com//acer/nitro-core-i5-12450h-8gb-256gb-ssd-rtx-2050-freedos-15-6-fhd-ips-notebook-nh-qmzey-003-p-777978487?boutiqueId=61&merchantId=107007,21.999 TL
,8 GB,,Mini HDMI,,,,2 kg ve Altı,Yok,"13,6 inç",,,,,M2 8 Çekirdekli,Dahili,8 GB,Dahili,,120 Hz,,,2 Yıl,Apple Türkiye Garantili,,,250 GB,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,,,,,Yok,,,,,8 GB,DDR5,Gri,256 GB,,,,3.3,,,,,,,,,,2560 x 1600,Ultra HD 4K (UHD),,Belirtilmemiş,1. Nesil,Apple M2,1,Mac Os,6 Saat ve Üstü,https://www.trendyol.com//apple/macbook-air-13-6-m2-8gb-256gb-ssd-uzay-grisi-p-335392170?boutiqueId=61&merchantId=190694,34.899 TL
,256 GB,,,,,,4 kg ve Üstü,,,,,,,Dahili Ekran Kartı,Dahili,,Paylaşımlı,,,,,2 Yıl,İthalatçı Garantili,,Yok,,1 TB,Yok,,Tasarım,,,,,,Yok,,500 W ve üstü,,,64 GB,DDR4,Siyah,1 TB,,,,2.4,,,,,,,,,,,,,E52680,Belirtilmemiş,Intel Xeon,18,Free Dos,,https://www.trendyol.com//oem/xeon-2680v4-56-cekirdek-islemci-64-gb-ddr4-ecc-ram-1-tb-nvme-ssd-750-watt-80-is-istasyonu-p-475202413?boutiqueId=61&merchantId=192829&advertItems=eyJhZHZlcnRJZCI6Ijg2MjhiZDMyLTA0MmUtNGFjYy1iN2M0LWM2OGNkOGQ4ODJlMiIsInNvcnRpbmdTY29yZSI6MC4wMDM2Njc1Mzc1NDIwNjAwMTc4LCJhZFNjb3JlIjowLjAxNDcxNDg2MTI4ODY2NjcyNSwiYWRTY29yZXMiOnsiMSI6MC4wMTQ3MTQ4NjEyODg2NjY3MjUsIjIiOjAuMDE0NzE0ODYxMjg4NjY2NzI1fSwiY3BjIjowLjI3NSwibWluQ3BjIjowLjAxLCJlQ3BjIjowLjI2NTkzNjAwMzc3Mjg5MDgsImFkdmVydFNsb3QiOjQyLCJvcmRlciI6MjMsInNlYXJjaFRlcm0iOiJiaWxnaXNheWFyIiwiYXR0cmlidXRlcyI6IiJ9,"33.999,99 TL"
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,,144 Hz,,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),,Oyun,,4.4,,,,,IPS,,,,32 GB,DDR4,Siyah,1 TB,Gen 4,,,2,,,,,,,,,,1920 x 1080,Full HD (FHD),,12450H,12. Nesil,Intel Core i5,8,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a5-v20-4-2-intel-core-i5-12450h-32-gb-ram-1-tb-ssd-6-gb-rtx-4050-freedos-15-6-fhd-144-hz-p-760273243?boutiqueId=61&merchantId=105286,29.999 TL
,,,,,,2 kg ve AltÄ±,,Yok,"15,6 inÃ§",Intel UHD Graphics,BelirtilmemiÅŸ,PaylaÅŸÄ±mlÄ±,Dahili,,,,,60 Hz,,,2 YÄ±l,,Asus TÃ¼rkiye Garantili,,,HDD Yok,,Q TÃ¼rkÃ§e,Ofis - Ä°ÅŸ,,4.2,,,,,,IPS,,8 GB,DDR4,,,Gri,512 GB,,,2.4,,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,,,,,,,,,,,https://www.trendyol.com//asus/x515ea-bq1190-intel-core-i5-1135g7-8gb-512gb-ssd-dos-15-6-fhd-laptop-asus-turkiye-garantili-p-458249190?boutiqueId=61&merchantId=868267,14.399 TL
,,USB,,,,2 kg ve AltÄ±,,Yok,"15,6 inÃ§",Intel Iris Graphics,SD,PaylaÅŸÄ±mlÄ±,Dahili,,,,,120 Hz,,,2 YÄ±l,,Resmi DistribÃ¼tÃ¶r Garantili,,,HDD Yok,,Q TÃ¼rkÃ§e (AydÄ±nlatmasÄ±z),Ofis - Ä°ÅŸ,,,,,,,,IPS,,16 GB,DDR4,,,Gri,1 TB,,,2.4,,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,10,Free Dos,6 Saat ve ÃœstÃ¼,,,,,,,,,,https://www.trendyol.com//dell/vostro-3520-i5-1135g7-16-gb-1-tbssd-15-6-fhd-freedos-n2062pvnb3520u-bt11-p-743293447?boutiqueId=61&merchantId=109239,"15.049,99 TL"
,,,,,,,,,,,,,,Nvidia GeForce RTX 4060,GDDR6,,Harici,,,,,3 Yıl,Resmi Distribütör Garantili,,,HDD Yok,Yok,,,Oyun,,,,,,Yok,,,,,32 GB,,,1 TB,,,,,,,,,,,,,,,,,Ryzen 5 5600,5. Nesil,AMD Ryzen 5,12,Free Dos,,https://www.trendyol.com//zenon/raks-tr105-ryzen-5-5600-32gb-1tbssd-rtx4060-8gb-freedos-gaming-masaustu-bilgisayar-p-780238303?boutiqueId=61&merchantId=106664&advertItems=eyJhZHZlcnRJZCI6ImI3ZmUwN2YwLTUwODQtNDRhYi1iN2I4LWNjMWFlNjExMGEzYiIsInNvcnRpbmdTY29yZSI6MC4wMDMyNzk5MjU2NzIzMzc0MTMsImFkU2NvcmUiOjAuMDE1NjkzNDI0MjY5NTU3LCJhZFNjb3JlcyI6eyIxIjowLjAxNTY5MzQyNDI2OTU1NywiMiI6MC4wMTU2OTM0MjQyNjk1NTd9LCJjcGMiOjAuMjA5MDAwMDAwMDAwMDAwMDIsIm1pbkNwYyI6MCwiZUNwYyI6MC4yMDc5Njk3OTI4MzE2NzQ1MiwiYWR2ZXJ0U2xvdCI6NDMsIm9yZGVyIjozLCJzZWFyY2hUZXJtIjoiYmlsZ2lzYXlhciIsImF0dHJpYnV0ZXMiOiIifQ==,27.599 TL
,,,,,,,2 kg ve Altı,Yok,14 inç,,,,,Intel UHD Graphics 600,SD,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,,,,,,8 GB,DDR4,Gri,256 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,N4020,Belirtilmemiş,Intel Celeron,2,Windows,,https://www.trendyol.com//asus/x415ma-ek385w04-n4020-8gb-256ssd-14-fullhd-w11h-tasinabilir-bilgisayar-p-639999028?boutiqueId=61&merchantId=557390,8.859 TL
,,,HDMI - USB,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,,165 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),,Oyun,,,,,,,IPS,,,,16 GB,DDR5,Siyah,1 TB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,13650HX,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//dell/gaming-g15-5530-g155530013u-i7-13650hx-16gb-ddr5-1tb-ssd-rtx4060-8gb-fhd-ubuntu-gaming-laptop-p-750510203?boutiqueId=632399&merchantId=105369,40.609 TL
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,17 inç,,,,,Nvidia GeForce RTX 4090,GDDR6X,16 GB,Dahili,,240 Hz,,,2 Yıl,İthalatçı Garantili,,,HDD Yok,,Q İngilizce,,Oyun,,,,,,,LED,,,,16 GB,DDR5,Siyah,2 TB,,,,,,,,,,,,,,2560 x 1600,QHD,,13900HX,13. Nesil,Intel Core i9,24,Windows,,https://www.trendyol.com//acer/vr-ready-predator-triton-17-250hz-gaming-laptop-i9-13900hx-16gb-geforce-rtx-4090-2tb-ssd-siyah-p-788781337?boutiqueId=61&merchantId=910089,175.000 TL
,,,,,,,,,,,,,,Nvidia GeForce RTX3060,DDR4,,Harici,,,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,Yok,,,Oyun,,,,,,Yok,,,,,16 GB,,,1 TB,,,,,,,,,,,,,,,,,11700F,11. Nesil,Intel Core i7,6,Free Dos,,https://www.trendyol.com//zenon/raks-tr102-i7-11700f-16gb-1tbssd-rtx3060-12gb-freedos-gaming-masaustu-bilgisayar-p-779882522?boutiqueId=61&merchantId=106664&advertItems=eyJhZHZlcnRJZCI6ImI3ZmUwN2YwLTUwODQtNDRhYi1iN2I4LWNjMWFlNjExMGEzYiIsInNvcnRpbmdTY29yZSI6MC4wMDI5NDk4ODk2MjkxNDc5NDcsImFkU2NvcmUiOjAuMDE0MTE0MzA0NDQ1NjgzOTU2LCJhZFNjb3JlcyI6eyIxIjowLjAxNDExNDMwNDQ0NTY4Mzk1NiwiMiI6MC4wMTQxMTQzMDQ0NDU2ODM5NTZ9LCJjcGMiOjAuMjA5MDAwMDAwMDAwMDAwMDIsIm1pbkNwYyI6MCwiZUNwYyI6MC4yMDkwMDAwMDAwMDAwMDAwMiwiYWR2ZXJ0U2xvdCI6NDQsIm9yZGVyIjo3LCJzZWFyY2hUZXJtIjoiYmlsZ2lzYXlhciIsImF0dHJpYnV0ZXMiOiIifQ==,27.899 TL
,,,,,,,,,"24"" / 61 Ekran",,,,,Nvidia Geforce GT 740,DDR3,4 GB,Harici,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,256 GB,Q Türkçe,,Oyun,,,,,,Yok,,250 - 350 W,,,16 GB,DDR3,,256 GB,,,,3.4,,,,,,,,,,1920 x 1080,Full HD (FHD),3.00 GHz üstü,860,1. Nesil,Intel Core i7,8,Free Dos,,https://www.trendyol.com//turbox/tx1650-i7-860-16gb-ram-256gb-ssd-4gb-gt740-23-6-inc-curved-cift-monitor-oyuncu-bilgisayari-p-331534260?boutiqueId=61&merchantId=107513,11.499 TL
,,,Bluetooth - HDMI,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,4.4,,,,,TN,,,,24 GB,DDR4,Gümüş,1 TB,,,,1.3,,,,,,,,,,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,10,Free Dos,,https://www.trendyol.com//asus/vivobook-15-i5-1235u-24gb-1tb-ssd-15-6-freedos-tasinabilir-bilgisayar-x1502za-ej1067tr11-p-738401475?boutiqueId=61&merchantId=107204,18.299 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//zeiron/fx50-i5-3470-16-gb-1-tb-hdd-240gb-ssd-4-gb-23-8-curved-oyuncu-bilgisayari-p-50439438?boutiqueId=61&merchantId=127037,11.649 TL
,,,,,,,,,,,,,,Nvidia GeForce RTX 3050,DDR4,,Harici,,,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,Yok,,,Oyun,,,,,,Yok,,,,,16 GB,,,500 GB,,,,,,,,,,,,,,,,,12400F,12. Nesil,Intel Core i5,6,Free Dos,,https://www.trendyol.com//zenon/raks-tr101-i5-12400f-16gb-500gb-ssd-rtx3050-8gb-freedos-gaming-masaustu-bilgisayar-p-779882568?boutiqueId=61&merchantId=106664&advertItems=eyJhZHZlcnRJZCI6ImI3ZmUwN2YwLTUwODQtNDRhYi1iN2I4LWNjMWFlNjExMGEzYiIsInNvcnRpbmdTY29yZSI6MC4wMDI4MTI0NTYyMTY2NjMxMjI0LCJhZFNjb3JlIjowLjAxMzQ1NjcyODMwOTM5MjkyOSwiYWRTY29yZXMiOnsiMSI6MC4wMTM0NTY3MjgzMDkzOTI5MjksIjIiOjAuMDEzNDU2NzI4MzA5MzkyOTI5fSwiY3BjIjowLjIwOTAwMDAwMDAwMDAwMDAyLCJtaW5DcGMiOjAsImVDcGMiOjAuMjA5MDAwMDAwMDAwMDAwMDIsImFkdmVydFNsb3QiOjQ1LCJvcmRlciI6MTEsInNlYXJjaFRlcm0iOiJiaWxnaXNheWFyIiwiYXR0cmlidXRlcyI6IiJ9,21.659 TL
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,"17,3 inç",,,,,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,,144 Hz,,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),,Oyun,,5.0,,,,,IPS,,,,32 GB,DDR4,Siyah,1 TB,Gen 4,,,2.4,,,,,,,,,,1920 x 1080,Full HD (FHD),,13700H,13. Nesil,Intel Core i7,14,Windows,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a7-v14-6-5-intel-core-i7-13700h-32-gb-ram-1-tb-ssd-6-gb-rtx-4050-windows-11-17-3-fhd-144-hz-p-736981820?boutiqueId=61&merchantId=105286,40.999 TL
,,,HDMI - USB,,,,2 - 4 kg,Yok,"16,1 inç",,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,,144 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),,Oyun,,,,,,,IPS,,,,32 GB,DDR5,Siyah,1 TB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-16-r0064nt-8b5y1ea-i7-13700h-32gb-1tb-rtx4060-8gb-16-1inc-144hz-fhd-freedos-gaming-laptop-p-772538683?boutiqueId=632399&merchantId=105369,43.199 TL
,32 GB,,HDMI,,,,2 - 4 kg,Yok,16 inç,,,,,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,,165 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,Yok,RGB Türkçe,,Oyun,,4.9,,,,Yok,IPS,,,,16 GB,DDR5,Siyah,512 GB,,,,2.6,,,,,,,,,,1920 x 1200,WUXGA,,13650HX,13. Nesil,Intel Core i7,14,Free Dos,4-6 Saat,https://www.trendyol.com//asus/rog-strix-g16-g614ju-n3195-intel-i7-13650hx-16gb-ddr5-512gb-ssd-6gb-rtx4050-16-wuxga-165hz-dos-p-661623406?boutiqueId=61&merchantId=105919,41.299 TL
,,,,,,,,,,,,,,Nvidia GeForce RTX 4060,GDDR6,,Harici,,,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,Yok,,,Oyun,,,,,,Yok,,,,,32 GB,,,1 TB,,,,,,,,,,,,,,,,,12700F,12. Nesil,Intel Core i7,12,Free Dos,,https://www.trendyol.com//zenon/raks-tr106-i7-12700f-32gb-1tbssd-rtx4060-8gb-freedos-gaming-masaustu-bilgisayar-p-779886102?boutiqueId=61&merchantId=106664&advertItems=eyJhZHZlcnRJZCI6ImI3ZmUwN2YwLTUwODQtNDRhYi1iN2I4LWNjMWFlNjExMGEzYiIsInNvcnRpbmdTY29yZSI6MC4wMDI1ODc3Mzk0NTczNzYzMDE3LCJhZFNjb3JlIjowLjAxMjM4MTUyODUwNDE5MjgyOSwiYWRTY29yZXMiOnsiMSI6MC4wMTIzODE1Mjg1MDQxOTI4MjksIjIiOjAuMDEyMzgxNTI4NTA0MTkyODI5fSwiY3BjIjowLjIwOTAwMDAwMDAwMDAwMDAyLCJtaW5DcGMiOjAsImVDcGMiOjAuMjA2Nzc2NzA3MzIwNzU5OTIsImFkdmVydFNsb3QiOjQ2LCJvcmRlciI6MTUsInNlYXJjaFRlcm0iOiJiaWxnaXNheWFyIiwiYXR0cmlidXRlcyI6IiJ9,33.499 TL
